Value
145.000
144.207
138.411
132.810
140.113
137.061
119.068
122.333
130.762
132.749
136.061
127.617
121.846
126.934
128.693
118.242
124.361
128.142
126.050
126.611
131.150
121.524
114.768
130.358
148.332
147.709
152.066
166.210
175.894
197.546
239.448
296.012
329.565
298.573
242.151
225.201
222.015
244.654
293.465
318.705
318.763
329.403
351.762
380.710
382.216
433.638
485.828
557.724
589.604
599.889
618.515
614.912
608.900
625.975
644.125
653.606
689.418
735.271
813.467
967.049
1133.124
1368.971
1730.875
2199.429
2575.136
2708.088
2654.479
2631.801
2676.106
2512.098
2573.534
2828.057
3061.035
3201.814
3232.608
3083.724
2840.535
2595.381
2303.533
2079.005
2046.928
2265.015
2520.038
2816.586
2945.667
2934.611
2627.724
1887.141
1273.117
966.316
821.335
661.757
580.892
540.753
499.243
460.871
477.285
536.111
591.741
605.915
511.822
428.337
365.491
349.630
342.773
339.952
347.549
354.369
370.370
321.826
288.100
242.236
197.815
193.383
216.977
245.432
258.652
241.580
196.776
173.286
189.960
198.641
171.033
168.919
186.112
229.280
237.857
203.858
183.935
178.868
191.928
211.341
211.363
207.307
213.999
246.959
263.652
252.344
239.956
241.049
219.228
200.006
204.862
206.885
181.434
187.621
201.515
220.667
