Value
255.000
267.181
283.687
259.308
231.001
227.987
240.231
234.995
238.274
258.338
253.709
236.438
241.298
245.567
247.095
241.608
241.846
262.555
258.417
248.924
248.606
259.190
260.696
249.895
254.598
271.570
267.675
262.965
278.365
290.021
283.089
276.651
271.793
285.841
305.223
292.799
290.813
293.678
287.141
287.473
302.805
320.047
313.905
280.233
281.942
305.496
314.940
319.312
315.865
317.444
337.170
339.745
321.262
309.469
309.414
307.210
293.481
296.017
312.822
326.052
310.870
347.522
478.054
754.286
1044.758
1205.404
1249.556
1204.766
1152.575
1119.649
1041.444
948.105
939.108
1056.390
1207.918
1297.173
1365.448
1365.471
1146.068
809.809
566.613
411.866
307.702
284.702
297.190
300.638
298.348
286.224
276.305
280.007
282.265
297.487
278.148
261.964
249.857
242.318
252.086
251.929
256.333
272.464
268.136
245.938
215.720
230.884
249.299
259.571
262.711
248.905
233.117
241.794
238.338
240.735
244.053
234.242
226.849
211.050
214.226
226.294
213.977
199.085
203.575
206.428
218.432
221.308
218.710
210.632
224.714
255.752
246.336
239.023
229.036
231.964
209.236
202.444
225.715
245.962
232.542
231.635
241.028
237.343
227.783
207.122
201.301
212.858
219.461
220.502
210.764
201.667
